"","cname","ccodealp","ht_region","wdi_gdpcapcur","wdi_pop","p_polity2","wdi_oilrent"
"148","St Vincent and the Grenadines","VCT",10,7212.9599609375,109827,NA,0
"149","San Marino","SMR",5,45399.02734375,33671,NA,NA
"150","Sao Tome and Principe","STP",4,1813.783203125,207089,NA,0
"151","Saudi Arabia","SAU",3,20803.74609375,33099148,-10,23.0539741516113
"152","Senegal","SEN",4,1361.69958496094,15419381,7,0
"153","Serbia","SRB",1,6292.54345703125,7020858,8,0.0938400626182556
"154","Seychelles","SYC",4,15906.083984375,95843,NA,0
"155","Sierra Leone","SLE",4,499.380706787109,7488431,7,0
"156","Singapore","SGP",7,60913.74609375,5612253,-2,0
"157","Slovakia","SVK",1,17556.6015625,5439232,10,0.0272322222590446
"158","Vietnam","VNM",7,2365.62158203125,94596640,-7,1.27171218395233
"159","Slovenia","SVN",1,23512.81640625,2066388,10,9.52822811087e-05
"160","Somalia","SOM",4,NA,14589119,5,NA
"161","South Africa","ZAF",4,6132.47998046875,57000452,9,0.0057958094403148
"162","Zimbabwe","ZWE",4,1548.17004394531,14236745,4,0
"163","Spain","ESP",5,28170.16796875,46593236,10,0.0017191607039422
"164","South Sudan","SSD",4,1119.6513671875,10910759,0,8.55303478240967
"165","Sudan (2012-)","SDN",4,1111.86840820312,40813396,-4,2.60586977005005
"166","Suriname","SUR",10,5637.51513671875,570501,5,4.87148666381836
"167","Eswatini (former Swaziland)","SWZ",4,3914.61328125,1124753,-9,0
"168","Sweden","SWE",5,53791.5078125,10057698,10,0
"169","Switzerland","CHE",5,80449.9921875,8451840,10,0
"170","Syria","SYR",3,NA,17068002,-9,NA
"171","Tajikistan","TJK",1,806.041564941406,8880268,-3,0.0648372247815132
"172","Thailand","THA",7,6592.9150390625,69209856,-3,0.590573489665985
"173","Togo","TGO",4,626.091552734375,7698475,-2,0
"174","Tonga","TON",9,4513.609375,101998,NA,0
"175","Trinidad and Tobago","TTO",10,16238.193359375,1384072,10,3.10158038139343
"176","United Arab Emirates","ARE",3,40644.8046875,9487203,-8,13.046028137207
"177","Tunisia","TUN",3,3481.22875976562,11433443,7,1.55345714092255
"178","Turkey","TUR",3,10591.474609375,81101888,-4,0.0559469982981682
"179","Turkmenistan","TKM",1,6587.09033203125,5757669,-8,5.02459192276001
"180","Tuvalu","TUV",9,3572.49365234375,11370,NA,0
"181","Uganda","UGA",4,747.196899414062,41162464,-1,0
"182","Ukraine","UKR",1,2640.67578125,44831136,4,0.243433684110642
"183","North Macedonia","MKD",1,5430.8740234375,2081996,9,0
"184","Egypt","EGY",3,2444.29028320312,96442592,-4,4.07092142105103
"185","United Kingdom","GBR",5,40361.41796875,66058860,8,0.31952115893364
"186","Tanzania","TZA",4,1004.84112548828,54663904,3,0
"187","United States","USA",5,60062.22265625,324985536,8,0.177408635616302
"188","Burkina Faso","BFA",4,734.994445800781,19193284,6,0
"189","Uruguay","URY",2,17322.146484375,3436646,10,0
"190","Uzbekistan","UZB",1,1826.56689453125,32388600,-9,0.721003770828247
"191","Venezuela","VEN",2,16054.490234375,29390408,-3,9.83243846893311
"192","Samoa","WSM",9,4259.76513671875,195352,NA,0
"193","Yemen","YEM",3,960.528503417969,27834820,0,0.791113078594208
"194","Zambia","ZMB",4,1534.86669921875,16853688,6,0
